00/09-02-041-08 W5M/00
(GMT-07:00) Mountain Time (US & Canada),Differential Pressure [15] (in H2O),Flowing Temperature [13] (°C),Gas Flow Rate [19] (E3M3/Day),Static Pressure [14] (kPa)
12/17/2015 11:37:54,-.54304245985,-7.74373913,0,-3.97392941
12/17/2015 11:42:54,-.538514220998,-7.65055609,0,-4.01726913
12/17/2015 11:47:54,-.53973334368,-7.59984255,0,-3.99726629
12/17/2015 11:52:54,-.540604134114,-7.49157667,0,-3.98059702
12/17/2015 11:57:54,-.53729505813,-7.38209677,0,-3.85057759
12/17/2015 11:59:59,-.528970005812,-7.33870792,0,-3.82857418
12/17/2015 12:04:59,-.51744036111,-7.2677536,0,-3.66054893
12/17/2015 12:09:59,-.531895948472,-7.13551521,0,-3.65721512
12/17/2015 12:14:59,-.553318140608,-7.04878759,0,-3.49052358
12/17/2015 12:19:59,-.534856732394,-6.94201517,0,-3.59720612
12/17/2015 12:22:54,-.539061594504,-6.8169899,0,-3.52338552
12/17/2015 12:27:54,-.531895948472,-6.75025702,0,-3.60387397
12/17/2015 12:32:54,-.53224428072,-6.63762808,0,-3.72389197
12/17/2015 12:37:54,-.549486526066,-6.47993088,0,-3.73055959
12/17/2015 12:42:54,-.5454807454,-6.38754559,0,-3.73389339
12/17/2015 12:47:54,-.540255801866,-6.24491215,0,-3.58387089
12/17/2015 12:52:54,-.542694127602,-6.1350112,0,-3.71389031
12/17/2015 12:57:54,-.529806035356,-6.03474188,0,-3.80723763
12/17/2015 12:59:59,-.55404960618,-5.92615795,0,-3.74056101
12/17/2015 13:04:59,-.55122814712,-5.85059738,0,-3.620543
12/17/2015 13:09:59,-.556278884344,-5.74550009,0,-3.51052666
12/17/2015 13:14:59,-.564464571614,-5.59406567,0,-3.3238318
12/17/2015 13:19:59,-.542694127602,-5.50779152,0,-3.26382279
12/17/2015 13:22:54,-.543540083088,-5.38059425,0,-3.18619227
12/17/2015 13:27:54,-.535901729138,-5.27010536,0,-3.15714025
12/17/2015 13:32:54,-.553143934298,-5.15562153,0,-3.04045606
12/17/2015 13:37:54,-.541126672672,-4.99070072,0,-3.24381995
12/17/2015 13:42:54,-.566206232854,-4.865201,0,-3.25382137
12/17/2015 13:47:54,-.553143934298,-4.57862663,0,-3.16714168
12/17/2015 13:52:54,-.546699868082,-4.26756763,0,-3.23381829
12/17/2015 13:57:54,-.535030938704,-3.94018745,0,-3.09713125
12/17/2015 13:59:59,-.546107767558,-3.71735787,0,-3.32449865
12/17/2015 14:04:59,-.527716041868,-3.53334332,0,-3.34050107
12/17/2015 14:09:59,-.52336196914,-3.25813985,0,-3.42718077
12/17/2015 14:14:59,-.522839470768,-3.09989333,0,-3.49719119
12/17/2015 14:19:59,-.527367749806,-2.95836711,0,-3.51052666
12/17/2015 14:22:54,-.542644377334,-2.92711639,0,-3.48909473
12/17/2015 14:27:54,-.531721822534,-2.93980336,0,-3.41717911
12/17/2015 14:32:54,-.525800214504,-2.92357564,0,-3.33383346
12/17/2015 14:37:54,-.537469224254,-2.91395569,0,-3.17047548
12/17/2015 14:42:54,-.533289277464,-2.82784748,0,-3.21714926
12/17/2015 14:47:54,-.526496879,-2.741956,0,-3.13713717
12/17/2015 14:52:54,-.510996294894,-2.58784389,0,-3.22048306
12/17/2015 14:57:54,-.509254714026,-2.47166276,0,-3.14713883
12/17/2015 14:59:59,-.503054496458,-2.37958789,0,-3.11646748
12/17/2015 15:04:59,-.513086288382,-2.38944292,0,-3.11713433
12/17/2015 15:09:59,-.530154367604,-2.38292384,0,-3.13380337
12/17/2015 15:14:59,-.540952466362,-2.42334795,0,-3.13046956
12/17/2015 15:19:59,-.523884427326,-2.44178247,0,-3.08712983
12/17/2015 15:22:54,-.516370529418,-2.47253346,0,-3.14618611
12/17/2015 15:27:54,-.515176241684,-2.52486753,0,-3.29049349
12/17/2015 15:32:54,-.519007896412,-2.55295801,0,-3.23381829
12/17/2015 15:37:54,-.53642422751,-2.63594556,0,-3.01045156
12/17/2015 15:42:54,-.53973334368,-2.67481399,0,-3.17047548
12/17/2015 15:47:54,-.538340014688,-2.75409412,0,-3.07379436
12/17/2015 15:52:54,-.537643390378,-2.77685571,0,-3.07712817
12/17/2015 15:57:54,-.551053980996,-2.85846734,0,-3.17380929
12/17/2015 15:59:59,-.561573510402,-2.86821246,0,-3.21248174
12/17/2015 16:04:59,-.538862553246,-2.90209913,0,-3.20047998
12/17/2015 16:09:59,-.542345795354,-2.96960068,0,-3.2971611
12/17/2015 16:14:59,-.53241848703,-3.00984883,0,-3.41051149
12/17/2015 16:19:59,-.548093197074,-3.09540749,0,-3.45385146
12/17/2015 16:22:54,-.539658718278,-3.11845279,0,-3.47766447
12/17/2015 16:27:54,-.558891336018,-3.1919117,0,-3.43718219
12/17/2015 16:32:54,-.562897116684,-3.2550745,0,-3.31049657
12/17/2015 16:37:54,-.57648183324,-3.32468987,0,-3.53386331
12/17/2015 16:42:54,-.563942113428,-3.41881132,0,-3.38717461
12/17/2015 16:47:54,-.566728731226,-3.47537684,0,-3.36050415
12/17/2015 16:52:54,52.380790956526,-4.61708307,7.63710377097,227.62480164
12/17/2015 16:57:54,40.640074634264,-5.85718918,6.6802634424,218.61460876
12/17/2015 16:59:59,-.586653070584,-5.46718645,0,164.10861206
12/17/2015 17:04:59,-.567077063474,-5.21367025,0,155.60667419
12/17/2015 17:09:59,-.556627216592,-4.9660697,0,144.35165405
12/17/2015 17:14:59,-.568470312094,-4.88012505,0,133.72338867
12/17/2015 17:19:59,-.580313487968,-4.85328722,0,123.71522522
12/17/2015 17:22:54,-.586832179586,-4.82730579,0,116.06598663
12/17/2015 17:27:54,-.561503787692,-4.86876249,0,108.67630768
12/17/2015 17:32:54,-.569515308838,-4.90896893,0,99.57826996
12/17/2015 17:37:54,-.549834858314,-4.93687153,0,90.99698639
12/17/2015 17:42:54,-.553840598794,-5.02424383,0,82.88910675
12/17/2015 17:47:54,-.557672213336,-5.06146622,0,75.22795105
12/17/2015 17:52:54,-.580313487968,-5.12221956,0,68.00019836
12/17/2015 17:57:54,-.560458790948,-5.21020699,0,61.20584869
12/17/2015 17:59:59,-.562409459574,-5.23906422,0,56.57248688
12/17/2015 18:04:59,-.567077063474,-5.31401587,0,48.67063522
12/17/2015 18:09:59,-.541126672672,-5.44442272,0,38.48577499
12/17/2015 18:14:59,-.5503573165,-5.49442434,0,31.24802208
12/17/2015 18:19:59,-.551576479368,-5.56469679,0,22.64339638
12/17/2015 18:22:54,-.539360176484,-5.67403126,0,15.90810108
12/17/2015 18:27:54,-.55610471822,-5.73143673,0,10.24487019
12/17/2015 18:32:54,-.572476132946,-5.76875734,0,5.10076523
12/17/2015 18:37:54,-.557323881088,-5.8373394,0,2.18699479
12/17/2015 18:42:54,-.57177946845,-5.90653276,0,.2300346
12/17/2015 18:47:54,-.55122814712,-5.95956659,0,-1.32353187
12/17/2015 18:52:54,-.547396532578,-6.06105566,0,-1.99363244
12/17/2015 18:57:54,-.560807123196,-6.16690016,0,-2.50704265
12/17/2015 18:59:59,-.54861565526,-6.20930052,0,-2.88443255
12/17/2015 19:04:59,-.54861565526,-6.2642355,0,-3.01045156
12/17/2015 19:09:59,-.558194711708,-6.37833834,0,-3.20047998
12/17/2015 19:14:59,-.554014805104,-6.46472216,0,-3.23048449
12/17/2015 19:19:59,-.579442657348,-6.52642918,0,-3.3271656
12/17/2015 19:22:54,-.580860821288,-6.60354567,0,-3.3633616
12/17/2015 19:27:54,-.57648183324,-6.69627428,0,-3.3238318
12/17/2015 19:32:54,-.577526829984,-6.76013613,0,-3.41717911
12/17/2015 19:37:54,-.590763294664,-6.82497025,0,-3.52386189
12/17/2015 19:42:54,-.57334692338,-6.94048834,0,-3.55386639
12/17/2015 19:47:54,-.562200452188,-7.01758766,0,-3.57386947
12/17/2015 19:52:54,-.57665603955,-7.07360077,0,-3.54386497
12/17/2015 19:57:54,-.564464571614,-7.16108847,0,-3.52719569
12/17/2015 19:59:59,-.55154159792,-7.24286318,0,-3.54053116
12/17/2015 20:04:59,-.566554524916,-7.29146385,0,-3.54053116
12/17/2015 20:09:59,-.5883250493,-7.34614038,0,-3.56720161
12/17/2015 20:14:59,-.576133581364,-7.4238162,0,-3.54719877
12/17/2015 20:19:59,-.583796770262,-7.53171587,0,-3.45385146
12/17/2015 20:22:54,-.586832179586,-7.59274483,0,-3.55196142
12/17/2015 20:27:54,-.584319228448,-7.62309933,0,-3.74722862
12/17/2015 20:32:54,-.562548784436,-7.6977272,0,-3.74056101
12/17/2015 20:37:54,-.568992850652,-7.80041838,0,-3.81057143
12/17/2015 20:42:54,-.577526829984,-7.87489033,0,-3.83057451
12/17/2015 20:47:54,-.549660652004,-7.92505646,0,-4.00059986
12/17/2015 20:52:54,-.550705648748,-8.00617123,0,-4.02393675
12/17/2015 20:57:54,-.554885595538,-8.10859394,0,-3.9705956
12/17/2015 20:59:59,-.577875162232,-8.17123222,0,-4.01260185
12/17/2015 21:04:59,-.572301966822,-8.20955276,0,-4.03393841
12/17/2015 21:09:59,-.579616823472,-8.25227928,0,-4.0572753
12/17/2015 21:14:59,-.584319228448,-8.34293938,0,-3.99393249
12/17/2015 21:19:59,-.568818644342,-8.43581104,0,-4.11061668
12/17/2015 21:22:54,-.564141154686,-8.48117256,0,-4.08918476
12/17/2015 21:27:54,-.56359378118,-8.5163517,0,-4.14062119
12/17/2015 21:32:54,-.571953634574,-8.57983685,0,-3.97726321
12/17/2015 21:37:54,-.56341957487,-8.67310905,0,-4.10728264
12/17/2015 21:42:54,-.54704820033,-8.75541592,0,-4.10394907
12/17/2015 21:47:54,-.547744864826,-8.80999756,0,-3.85057759
12/17/2015 21:52:54,-.554188931042,-8.85420036,0,-3.81390548
12/17/2015 21:57:54,-.548963987508,-8.9322443,0,-4.12728596
12/17/2015 21:59:59,-.539419852694,-9.00830555,0,-3.98859835
12/17/2015 22:04:59,-.564812903862,-9.05027008,0,-3.98059702
12/17/2015 22:09:59,-.579442657348,-9.0920496,0,-4.05060768
12/17/2015 22:14:59,-.580487654092,-9.12866402,0,-3.81390548
12/17/2015 22:19:59,-.559239668266,-9.19065857,0,-3.93725729
12/17/2015 22:22:54,-.557274090634,-9.25183773,0,-3.78056693
12/17/2015 22:27:54,-.559762206824,-9.31603241,0,-3.82057309
12/17/2015 22:32:54,-.566902857164,-9.35846901,0,-3.95059252
12/17/2015 22:37:54,-.57177946845,-9.3922205,0,-4.03727245
12/17/2015 22:42:54,-.547570738888,-9.44372559,0,-3.85057759
12/17/2015 22:47:54,-.536075895262,-9.5098753,0,-3.9705956
12/17/2015 22:52:54,-.54565495171,-9.57787037,0,-3.80723763
12/17/2015 22:57:54,-.548267323012,-9.62051868,0,-3.98059702
12/17/2015 22:59:59,-.54986965939,-9.63959122,0,-3.9645946
12/17/2015 23:04:59,-.555756385972,-9.65161419,0,-3.95392632
12/17/2015 23:09:59,-.547919071136,-9.69851208,0,-3.98393083
12/17/2015 23:14:59,-.539210885494,-9.76378059,0,-3.7972362
12/17/2015 23:19:59,-.542519961478,-9.81808853,0,-3.84057593
12/17/2015 23:22:54,-.542942959314,-9.84835815,0,-3.70055509
12/17/2015 23:27:54,-.562200452188,-9.85965061,0,-3.75389647
12/17/2015 23:32:54,-.581184318588,-9.87801456,0,-3.80057001
12/17/2015 23:37:54,-.582751773518,-9.93262959,0,-3.99393249
12/17/2015 23:42:54,-.56759952166,-9.99770164,0,-4.0572753
12/17/2015 23:47:54,-.56359378118,-10.04384327,0,-3.91725421
12/17/2015 23:52:54,-.55784637946,-10.0706377,0,-3.9705956
12/17/2015 23:57:54,-.569689515148,-10.09245586,0,-4.01726913
12/17/2015 23:59:59,-.564081398104,-10.10451126,0,-4.07661152
12/18/2015 00:04:59,-.575785249116,-10.13655186,0,-4.00726748
12/18/2015 00:09:59,-.575785249116,-10.19119263,0,-4.05394125
12/18/2015 00:14:59,-.57648183324,-10.23952389,0,-4.09728098
12/18/2015 00:19:59,-.565857900606,-10.27349567,0,-4.12395191
12/18/2015 00:22:54,-.564738238274,-10.28393269,0,-4.18634224
12/18/2015 00:27:54,-.559413874576,-10.29343319,0,-3.92392182
12/18/2015 00:32:54,-.556278884344,-10.32392693,0,-3.95392632
12/18/2015 00:37:54,-.566902857164,-10.36917877,0,-3.84724379
12/18/2015 00:42:54,-.56777372797,-10.42706299,0,-4.12395191
12/18/2015 00:47:54,-.577004371798,-10.45733452,0,-4.01060152
12/18/2015 00:52:54,-.570734471706,-10.46327209,0,-4.00059986
12/18/2015 00:57:54,-.585886723564,-10.4665823,0,-3.92392182
12/18/2015 00:59:59,-.576203223702,-10.46461678,0,-4.07661152
12/18/2015 01:04:59,-.579616823472,-10.49153805,0,-4.09061337
12/18/2015 01:09:59,-.57839770079,-10.52211571,0,-4.08061218
12/18/2015 01:14:59,-.581706776774,-10.5511961,0,-4.27730846
12/18/2015 01:19:59,-.553666472856,-10.56057644,0,-4.19729614
12/18/2015 01:22:54,-.554288471764,-10.55283833,0,-4.06632423
12/18/2015 01:27:54,-.564638737738,-10.54920197,0,-4.04394007
12/18/2015 01:32:54,-.563767907118,-10.54759502,0,-4.06394291
12/18/2015 01:37:54,-.561677994002,-10.5685215,0,-4.0572753
12/18/2015 01:42:54,-.560110539072,-10.60294628,0,-4.04060602
12/18/2015 01:47:54,-.560632997258,-10.61885929,0,-4.0572753
12/18/2015 01:52:54,-.564290445676,-10.62084579,0,-4.02393675
12/18/2015 01:57:54,-.566728731226,-10.61111927,0,-4.09394741
12/18/2015 01:59:59,-.56282743416,-10.58988476,0,-4.25263786
12/18/2015 02:04:59,-.569863641086,-10.59394932,0,-4.23396826
12/18/2015 02:09:59,-.564987069986,-10.6027174,0,-4.16729164
12/18/2015 02:14:59,-.561329661754,-10.62829399,0,-4.03060436
12/18/2015 02:19:59,-.555930592282,-10.63620949,0,-4.07727814
12/18/2015 02:22:54,-.550705648748,-10.63272095,0,-4.04346371
12/18/2015 02:27:54,-.570211973334,-10.61963749,0,-4.18729448
12/18/2015 02:32:54,-.578571826728,-10.60088921,0,-4.16062403
12/18/2015 02:37:54,-.58240344127,-10.6082592,0,-4.1772933
12/18/2015 02:42:54,-.5883250493,-10.62650204,0,-4.11395025
12/18/2015 02:47:54,-.592330749594,-10.6546936,0,-4.03727198
12/18/2015 02:52:54,-.582925979828,-10.65809917,0,-3.92058802
12/18/2015 02:57:54,-.580139321844,-10.64441013,0,-3.92058802
12/18/2015 02:59:59,-.589579013244,-10.63984394,0,-3.93258977
12/18/2015 03:04:59,-.587454178494,-10.62482738,0,-3.95726013
12/18/2015 03:09:59,-.583622563952,-10.63672447,0,-3.96059394
12/18/2015 03:14:59,-.58240344127,-10.65272236,0,-3.85724521
12/18/2015 03:19:59,-.571605302326,-10.68723297,0,-4.00393391
12/18/2015 03:22:54,-.569813890818,-10.69485855,0,-4.02631807
12/18/2015 03:27:54,-.559762206824,-10.68814564,0,-4.07727814
12/18/2015 03:32:54,-.559239668266,-10.68043518,0,-4.14062119
12/18/2015 03:37:54,-.555059721476,-10.67134094,0,-4.18729448
12/18/2015 03:42:54,-.558891336018,-10.69336319,0,-4.21729898
12/18/2015 03:47:54,-.565335402234,-10.72116852,0,-4.2373023
12/18/2015 03:52:54,-.557672213336,-10.74599457,0,-4.05394125
12/18/2015 03:57:54,-.550008984252,-10.7552948,0,-3.73055959
12/18/2015 03:59:59,-.551123623334,-10.7431736,0,-3.90058494
12/18/2015 04:04:59,-.559936332762,-10.74590302,0,-4.09728098
12/18/2015 04:09:59,-.564638737738,-10.73017025,0,-4.02727079
12/18/2015 04:14:59,-.549486526066,-10.74807835,0,-3.81057143
12/18/2015 04:19:59,-.549138193818,-10.76619148,0,-4.05060768
12/18/2015 04:22:54,-.561454037424,-10.79150295,0,-4.07203913
12/18/2015 04:27:54,-.56777372797,-10.79734135,0,-4.10728264
12/18/2015 04:32:54,-.56516123611,-10.78538895,0,-4.16729164
12/18/2015 04:37:54,-.554885595538,-10.77472878,0,-4.14062119
12/18/2015 04:42:54,-.551924811616,-10.76538467,0,-3.95392632
12/18/2015 04:47:54,-.549660652004,-10.77207851,0,-3.96726179
12/18/2015 04:52:54,-.549486526066,-10.79682159,0,-3.75723028
12/18/2015 04:57:54,-.5503573165,-10.80641556,0,-3.80057001
12/18/2015 04:59:59,-.54986965939,-10.80623055,0,-3.94859219
12/18/2015 05:04:59,-.550183190562,-10.79463673,0,-4.06394291
12/18/2015 05:09:59,-.555233927786,-10.78238678,0,-4.18729448
12/18/2015 05:14:59,-.55854300377,-10.7595253,0,-4.18062687
12/18/2015 05:19:59,-.56777372797,-10.76991844,0,-4.13061953
12/18/2015 05:22:54,-.566231107988,-10.77318668,0,-4.07203913
12/18/2015 05:27:54,-.558194711708,-10.79300213,0,-4.04727364
12/18/2015 05:32:54,-.548267323012,-10.79076672,0,-3.81390548
12/18/2015 05:37:54,-.556801382716,-10.77011395,0,-3.95726013
12/18/2015 05:42:54,-.556278884344,-10.75517559,0,-3.90725279
12/18/2015 05:47:54,-.548093197074,-10.73372459,0,-3.96392798
12/18/2015 05:52:54,-.560981329506,-10.74144745,0,-4.23063469
12/18/2015 05:57:54,-.557672213336,-10.75366497,0,-4.01060152
12/18/2015 05:59:59,-.556139599668,-10.75944996,0,-4.03660536
12/18/2015 06:04:59,-.567947853908,-10.75477028,0,-4.10728264
12/18/2015 06:09:59,-.574566126434,-10.73522377,0,-4.09394741
12/18/2015 06:14:59,-.576307707302,-10.71341133,0,-4.03060436
12/18/2015 06:19:59,-.583622563952,-10.68967438,0,-4.13061953
12/18/2015 06:22:54,-.581159403268,-10.69578075,0,-4.10061502
12/18/2015 06:27:54,-.577352704046,-10.69936371,0,-4.03060436
12/18/2015 06:32:54,-.584319228448,-10.7108202,0,-4.01393557
12/18/2015 06:37:54,-.593549912462,-10.70655727,0,-3.99726629
12/18/2015 06:42:54,-.577352704046,-10.68520832,0,-4.00393391
12/18/2015 06:47:54,-.572650258884,-10.66538906,0,-3.8239069
12/18/2015 06:52:54,-.56916697659,-10.65256119,0,-3.83057451
12/18/2015 06:57:54,-.571431136202,-10.6562767,0,-3.93392348
12/18/2015 06:59:59,-.574531244986,-10.67644691,0,-3.90058494
12/18/2015 07:04:59,-.57996515572,-10.67995644,0,-3.96059394
12/18/2015 07:09:59,-.580487654092,-10.67795658,0,-4.01726913
12/18/2015 07:14:59,-.581706776774,-10.65567589,0,-3.95726013
12/18/2015 07:19:59,-.578049368542,-10.63830662,0,-3.89391732
12/18/2015 07:22:54,-.577576620438,-10.62712765,0,-3.95202136
12/18/2015 07:27:54,-.576830165488,-10.63783455,0,-3.9705956
12/18/2015 07:32:54,-.577701036294,-10.66391182,0,-3.98059702
12/18/2015 07:37:54,-.572998591132,-10.66952991,0,-3.96059394
12/18/2015 07:42:54,-.577701036294,-10.65826797,0,-3.97392941
12/18/2015 07:47:54,-.573172797442,-10.64396477,0,-4.00393391
12/18/2015 07:52:54,-.571256970078,-10.62388039,0,-3.9405911
12/18/2015 07:57:54,-.57334692338,-10.63322926,0,-3.9139204
12/18/2015 07:59:59,-.571605302326,-10.6371336,0,-3.90858626
12/18/2015 08:04:59,-.577526829984,-10.65755081,0,-3.9139204
12/18/2015 08:09:59,-.58066178003,-10.66333008,0,-3.86391282
12/18/2015 08:14:59,-.583274231704,-10.65011978,0,-3.90058494
12/18/2015 08:19:59,-.58066178003,-10.63638783,0,-3.94725871
12/18/2015 08:22:54,-.583547978736,-10.62118912,0,-4.00345755
12/18/2015 08:27:54,-.582055109022,-10.62588501,0,-3.99726629
12/18/2015 08:32:54,-.579616823472,-10.64382458,0,-3.89058352
12/18/2015 08:37:54,-.579268491224,-10.66974735,0,-3.99059844
12/18/2015 08:42:54,-.577352704046,-10.66927528,0,-3.96059394
12/18/2015 08:47:54,-.577875162232,-10.65255547,0,-3.95059252
12/18/2015 08:52:54,-.57491437831,-10.63744068,0,-3.87058043
12/18/2015 08:57:54,-.574043587876,-10.63529301,0,-3.82724071
12/18/2015 08:59:59,-.571187287554,-10.64243889,0,-3.78056693
12/18/2015 09:04:59,-.569863641086,-10.65737915,0,-3.88058209
12/18/2015 09:09:59,-.57491437831,-10.67792988,0,-3.95392632
12/18/2015 09:14:59,1.068494422478,-10.52634811,1.46156018281,422.21334839
12/18/2015 09:19:59,-.586235055812,-9.675807,0,623.32684326
12/18/2015 09:22:54,-.58414510251,-10.45096779,0,570.99707031
12/18/2015 09:27:54,-.579616823472,-10.74165154,0,522.52838135
12/18/2015 09:32:54,-.563071242622,-9.74571991,0,1086.86633301
12/18/2015 09:37:54,-.588847507486,-10.16150475,0,1156.95361328
12/18/2015 09:42:54,-.594246576958,-9.55679989,0,1496.71789551
12/18/2015 09:47:54,-.57665603955,-8.82886314,0,1848.50402832
12/18/2015 09:52:54,-.561329661754,-8.46338749,0,1851.65783691
12/18/2015 09:57:54,-.56185211994,-7.76704311,0,1853.12133789
12/18/2015 09:59:59,-.55404960618,-7.22699451,0,1854.03417969
12/18/2015 10:04:59,-.534856732394,-6.62257624,0,1854.69165039
12/18/2015 10:09:59,-.525451962628,-5.77670431,0,1855.26831055
12/18/2015 10:14:59,626.60267000924,-11.46489525,42.03000891027,723.39776611
12/18/2015 10:19:59,433.391072703056,-8.63283634,29.97431220636,511.83679199
12/18/2015 10:22:54,383.105899707276,-6.10807037,27.09943909606,470.07910156
12/18/2015 10:27:54,358.077642419572,-4.63485003,25.82032824185,455.13494873
12/18/2015 10:32:54,339.56090784877,-3.1603508,24.75584042748,440.49609375
12/18/2015 10:37:54,329.686530193182,-2.1094594,24.02405516107,426.82403564
12/18/2015 10:42:54,317.607735603238,-1.28654516,23.34807764375,417.57266235
12/18/2015 10:47:54,310.746050889384,-.56536591,22.82791697765,407.45114136
12/18/2015 10:52:54,305.10157841509,-.03809867,22.38484834171,398.41644287
12/18/2015 10:57:54,300.5665193961,.35093245,22.00685394692,390.20187378
12/18/2015 10:59:59,295.903242403092,.63660133,21.79064149393,388.19824219
